Owner,Category,Qty,Vintage ,Winery ,Wine (Name),Varietal(s),Country ,State ,Region ,Appelation,Sub App,Vineyard/Cru,Retail Price ,Volume (mL),Drinking Window,Box #,Notes,Drank,Pulled 1,Double Check,Pull 1 To Drink,Ready to Drink
R,Red,1,2016,Hall Wines,Diamond Mountain Vineyard,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,Diamond Mountain District,,$185.00,750,Medium,M2,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,2,2016,Hall Wines,Kathryn Hall,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,$180.00,750,Medium,M2,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Hall Wines,Jacks Masterpiece,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,$165.00,750,Medium,M2,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Chateau Pontet Canet,Grand Vin,Bordeaux Blend - Left Bank,France,,Bordeax,Pauillac,,,$150.00,750,Medium,Domaine Wine Storage ,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Chateau Beaucastel,Chateauneuf du Pape - Rouge,Rhone Blend,France,-,Rhone Valley,Southern Rhone,Chateauneuf du Pape,,$140.00,750,Medium,M7,,FALSE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Chateau Potelle,Cab Franc Wildcat Mountain Vineyard,Cabernet Franc,USA,CA,Northern CA,Sonoma County,Sonoma Coast,Wildcat Mountain Vineyar,125,750,Medium,M4,,TRUE,FALSE,FALSE,FALSE,FALSE
R+M,Red,1,2016,Corison Winery,St Helena Cabernet Sauvignon,Cabernet Sauvignon,USA,CA,Northern CA,Napa Valley,,,100,750,Medium,L1,,FALSE,FALSE,FALSE,FALSE,TRUE
R,Red,1,2016,Domaine Carneros,Famous Gate,Pinot Noir,USA,CA,Northern CA,,,,85,750,Short,S1,,TRUE,FALSE,FALSE,FALSE,FALSE
R,Red,1,2016,Silverado,SLD Merlot,Merlot,USA,CA,Northern CA,Napa Valley,Stags Leap District,,50,750,Medium,M1,,TRUE,TRUE,FALSE,TRUE,FALSE
R,Red,1,2016,Dowsett Family Wines,Becklin Vineyards Pinot Noir,Pinot Noir,USA,OR,,Willammette Valley,,Becklin Vineyards,33,750,Short,S1,,TRUE,FALSE,FALSE,FALSE,TRUE
